"ID","niscode","twtot","TOTAALBEV","DENSITEIT","diff","aandeel","originID.x","destID.x","oX","oY","stay","originID.y","move_to","destID.y","move_from","resident","inflow","outflow","resident255","inflow255","outflow255"
83,11052,7574,12386,952.291034163768,-38.9,61.1,83,83,4.51407116377163,51.2090325172717,1239,83,3868,83,5453,0.117329545454545,0.516382575757576,0.366287878787879,29.9190340909091,131.677556818182,93.4034090909091
84,43005,9064,20274,674.763922489149,-55.3,44.7,84,84,3.5582632110186,51.1935406470923,3455,84,4375,84,5107,0.267063461389812,0.394759217747546,0.338177320862642,68.1011826544021,100.663600525624,86.2352168199737
85,13003,4789,21570,295.958657772466,-77.8,22.2,85,85,5.1951929720183,51.1608199574042,2436,85,6377,85,2069,0.223855908840287,0.190130490718618,0.586013600441095,57.0832567542731,48.4832751332476,149.433468112479
86,44073,1087,7282,210.87117653375,-85.1,14.9,86,86,3.87406072197616,51.1786662085821,583,86,1961,86,385,0.199044042335268,0.131444178900649,0.669511778764083,50.7562307954933,33.5182656196654,170.725503584841
87,46021,32719,72883,869.75525190079,-55.1,44.9,87,87,4.10924523545906,51.1678458304763,13763,87,14689,87,17773,0.297739318550568,0.384488912925906,0.317771768523526,75.9235262303948,98.044672796106,81.0318009734992
88,13010,4835,11047,389.576186812626,-56.2,43.8,88,88,4.74848926245467,51.1819883080845,1182,88,3274,88,3128,0.155854430379747,0.412447257383966,0.431698312236287,39.7428797468354,105.174050632911,110.083069620253
89,46013,3615,16028,479.532707523404,-77.4,22.6,89,89,4.29106757151252,51.1671786711103,1696,89,4805,89,1418,0.214168455613082,0.179063013006693,0.606768531380225,54.612956181336,45.6610683167067,154.725975501957
90,72004,6890,15379,236.745124761479,-55.2,44.8,90,90,5.63924079783748,51.1448924937171,2617,90,3356,90,3968,0.263253193843678,0.399155014586058,0.337591791570265,67.1295644301378,101.784528719445,86.0859068504175
91,11007,1901,10233,2611.35383882795,-81.4,18.6,91,91,4.48986216583703,51.1919789375985,656,91,3569,91,1038,0.124643739312179,0.197225916777503,0.678130343910317,31.7841535246057,50.2926087782633,172.923237697131
92,61043,1423,5727,159.545678983731,-75.2,24.8,92,92,5.40317723314735,50.510181589013,570,92,1576,92,577,0.20932794711715,0.211898641204554,0.578773411678296,53.3786265148733,54.0341535071612,147.587219977965
93,52043,5414,22501,1147.94683273097,-75.9,24.1,93,93,4.23300049284587,50.5065057624918,1679,93,5581,93,3201,0.160500908134978,0.305993690851735,0.533505401013287,40.9277315744193,78.0283911671924,136.043877258388
94,63013,1938,5731,53.1858080960827,-66.2,33.8,94,94,6.21665748270918,50.4613625601911,939,94,1122,94,878,0.319496427356244,0.298741068390609,0.381762504253147,81.4715889758421,76.1789724396053,97.3494385845526
95,61031,10772,21205,444.136107934646,-49.2,50.8,95,95,5.22439397743273,50.5054934363399,3114,95,3789,95,7019,0.223674759373653,0.504166068093665,0.272159172532682,57.0370636402816,128.562347363884,69.4005889958339
96,52021,8859,22594,381.13518806417,-60.8,39.2,96,96,4.54045576952696,50.48237654497,2179,96,5472,96,5706,0.163135434603579,0.427191734670959,0.409672830725462,41.5995358239126,108.933892341095,104.466571834993
97,92094,63535,110096,626.640441067536,-42.3,57.7,97,97,4.86800588753509,50.4608586183864,23235,97,17192,97,39354,0.291234755142202,0.493275341246663,0.215489903611135,74.2648625612615,125.785212017899,54.9499254208395
98,84059,2532,5647,50.8017911666202,-55.2,44.8,98,98,5.34299854584659,50.0295155387484,905,98,956,98,1248,0.29109038275973,0.401415246059826,0.307494371180444,74.2280476037311,102.360887745256,78.4110646510132
99,82038,659,2415,24.6768611020416,-72.7,27.3,99,99,5.53096717039661,50.016430794684,288,99,400,99,202,0.323595505617978,0.226966292134831,0.449438202247191,82.5168539325843,57.876404494382,114.606741573034
100,56051,1200,5296,61.8849012117276,-77.3,22.7,100,100,4.21672303845343,50.0010100927088,763,100,765,100,325,0.411764705882353,0.175391257420399,0.412844036697248,105,44.7247706422018,105.275229357798
101,91054,994,4457,29.4080858327078,-77.7,22.3,101,101,4.9011545119312,49.9800526784984,636,101,761,101,242,0.38804148871263,0.147651006711409,0.464307504575961,98.9505796217206,37.6510067114094,118.39841366687
102,84035,1146,4908,35.1264174212602,-76.7,23.3,102,102,5.2331951267614,49.9672372337789,611,102,1048,102,372,0.300837026095519,0.183161004431315,0.516001969473166,76.7134416543575,46.7060561299852,131.580502215657
103,84016,229,1405,24.909969077775,-83.7,16.3,103,103,5.06649552772364,49.9996519075815,158,103,272,103,10,0.359090909090909,0.0227272727272727,0.618181818181818,91.5681818181818,5.79545454545455,157.636363636364
104,84033,658,4796,27.7350696643535,-86.3,13.7,104,104,5.57286117594433,49.8062559472629,465,104,724,104,90,0.363565285379203,0.0703674745895231,0.566067240031274,92.7091477716966,17.9437060203284,144.347146207975
105,35011,4130,19052,251.83285663492,-78.3,21.7,105,105,2.84661024375021,51.1525767705101,2519,105,3723,105,1331,0.332629076984022,0.175755975174964,0.491614947841014,84.8204146309257,44.8177736696157,125.361811699459
106,72040,2924,12960,142.0087625981,-77.4,22.6,106,106,5.55412464180836,51.0855288880778,1555,106,3768,106,1148,0.240302889816103,0.177406892288673,0.582290217895225,61.2772369031062,45.2387575336115,148.484005563282
107,38014,6049,22153,503.939706126695,-72.7,27.3,107,107,2.69199114860756,51.1118124625914,3150,107,4001,107,2554,0.324574961360124,0.263163317877383,0.412261720762494,82.7666151468315,67.1066460587326,105.126738794436
108,11001,9540,14281,1307.05064173706,-33.2,66.8,108,108,4.37566432992422,51.1345098622142,1273,108,4460,108,7040,0.0996633523839349,0.551162608627574,0.349174038988491,25.4141548579034,140.546465200031,89.0393799420653
109,11018,1826,10605,1950.09700836179,-82.8,17.2,109,109,4.33882480679538,51.1446636994434,645,109,3438,109,943,0.1283326701154,0.187624353362515,0.684042976522085,32.724830879427,47.8442101074413,174.430959013132
110,13049,10973,24379,442.242886708471,-55,45,110,110,4.88506594406015,51.1076860415771,3380,110,7017,110,7048,0.193751791344225,0.404012611063342,0.402235597592433,49.4067067927773,103.023215821152,102.570077386071
111,71034,5320,15172,674.59339096782,-64.9,35.1,111,111,5.24221176235539,51.1192879060557,1946,111,3662,111,2785,0.23185988323603,0.331824139163589,0.436315977600381,59.1242702251877,84.6151554867151,111.260574288097
112,44034,5818,21779,360.913524347328,-73.3,26.7,112,112,3.85991376694855,51.1023571750579,2830,112,6665,112,2531,0.235323465824048,0.210460668551472,0.55421586562448,60.0074837851322,53.6674704806253,141.325045734242
113,23060,2568,13679,694.706770158457,-81.2,18.8,113,113,4.18484745847098,50.9679701432216,1352,113,4674,113,922,0.194588370754174,0.132700057570524,0.672711571675302,49.6200345423143,33.8385146804836,171.541450777202
114,23052,3370,15693,427.388148044335,-78.5,21.5,114,114,4.2486940596218,50.953860844661,1596,114,5177,114,1323,0.197134387351779,0.163414031620553,0.639451581027668,50.2692687747036,41.6705780632411,163.060153162055
115,36015,33274,58823,983.761981879935,-43.4,56.6,115,115,3.13766791819092,50.9368263344372,13712,115,11189,115,18544,0.315617447347221,0.42683853147658,0.2575440211762,80.4824490735413,108.843825526528,65.6737253999309
116,41034,3033,18030,607.373739531056,-83.2,16.8,116,116,3.96267265161428,50.9696646625342,1595,116,5931,116,1149,0.183861671469741,0.132449567723343,0.683688760806916,46.8847262247839,33.7746397694524,174.340634005764
117,44048,6808,11351,322.539223352488,-40,60,117,117,3.60923820677787,50.9582773148629,1571,117,3086,117,4676,0.168327440265724,0.501017893496196,0.33065466623808,42.9234972677596,127.75956284153,84.3169398907104
118,25018,2170,11601,241.255873138299,-81.3,18.7,118,118,4.69523922471497,50.6813804274058,1196,118,3084,118,671,0.241567360129267,0.135528176126035,0.622904463744698,61.599676832963,34.559684912139,158.840638254898
119,63035,7216,17166,171.721825008658,-58,42,119,119,5.79570614148137,50.6467618504617,2360,119,4451,119,4407,0.210376181137458,0.392850775539312,0.396773043323231,53.6459261900517,100.176947762525,101.177126047424
120,55010,2852,13091,322.496115499677,-78.2,21.8,120,120,4.03130187865153,50.6760085327043,1231,120,3821,120,1167,0.197941791284772,0.187650747708635,0.614407461006593,50.475156777617,47.8509406657019,156.673902556681
121,63084,4253,9703,93.5284131231844,-56.2,43.8,121,121,5.94054709276775,50.6567129277324,1316,121,2274,121,2713,0.208789465333968,0.430429953990163,0.360780580675869,53.2413136601618,109.759638267492,91.9990480723465
122,64029,991,3199,135.414984914711,-69,31,122,122,5.18208627179675,50.6661846610136,319,122,811,122,429,0.204618345093008,0.27517639512508,0.520205259781911,52.1776779987171,70.1699807568954,132.652341244387
123,13029,6130,11923,514.482934079388,-48.6,51.4,123,123,4.8913631870588,51.1640814371757,1318,123,3680,123,4246,0.142578970142795,0.459324967546517,0.398096062310688,36.3576373864128,117.127866724362,101.514495889225
124,72030,7534,16194,186.242048902672,-53.5,46.5,124,124,5.46343460174113,51.1303462438583,2620,124,4296,124,4414,0.231244483671668,0.389585172109444,0.379170344218888,58.9673433362754,99.3442188879082,96.6884377758164
125,72018,2453,12252,223.721179281593,-80,20,125,125,5.76964415914703,51.1522047034964,1539,125,2357,125,778,0.329268292682927,0.166452717158751,0.504278990158323,83.9634146341463,42.4454428754814,128.591142490372
126,35005,2781,11792,279.073741189161,-76.4,23.6,126,126,2.9450667539012,51.1506878532671,1361,126,3381,126,1200,0.229047458768092,0.201952204644901,0.569000336587008,58.4071019858633,51.4978121844497,145.095085829687
